provider_id,vendor,asn,cidr,start_ip,end_ip,org,scope,status
aeza-group,Aeza Group,AS210644,79.137.204.0/22,79.137.202.0,79.137.207.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,79.137.248.0/24,79.137.248.0,79.137.248.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,80.85.241.0/24,80.85.241.0,80.85.241.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,81.19.137.0/24,81.19.137.0,81.19.137.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,82.117.84.0/24,82.117.84.0,82.117.84.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,84.22.148.0/22,84.22.148.0,84.22.151.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,85.192.24.0/22,85.192.24.0,85.192.29.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,85.192.28.0/23,85.192.24.0,85.192.29.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,85.192.31.0/24,85.192.31.0,85.192.31.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,85.192.37.0/24,85.192.37.0,85.192.38.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,85.192.38.0/24,85.192.37.0,85.192.38.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,85.192.40.0/23,85.192.40.0,85.192.42.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,85.192.42.0/24,85.192.40.0,85.192.42.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,85.192.60.0/23,85.192.60.0,85.192.61.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,85.192.63.0/24,85.192.63.0,85.192.63.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,89.169.32.0/22,89.169.32.0,89.169.35.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,89.169.52.0/22,89.169.52.0,89.169.55.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,89.185.85.0/24,89.185.85.0,89.185.85.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
